botid; date; time; press; nit; chl; l12; d12
#; mmddyy; hhmmss; dbar; umol/kg; ug/l; mg C/m3; mg C/m3
160210003;41390;-9;120;-9;0.32;1.9;0.12
160210002;41390;-9;145;-9;0.13;0.855;0.04
160210001;41390;-9;175;-9;0.08;0.13;0.04
170200315;50890;224057;33.1;0.01;-9;-9;-9
170200314;50890;223859;72.3;0.04;-9;-9;-9
170200313;50890;223653;149.5;1.8;-9;-9;-9
170200312;50890;223452;219.2;5.89;-9;-9;-9
170200523;50990;50946;6.2;0.01;0.08;-9;-9
170200521;50990;50823;15.7;-9;0.08;-9;-9
170200520;50990;50727;26.9;0.01;0.08;-9;-9
170200518;50990;50615;36.8;0.01;0.09;-9;-9
170200517;50990;50442;46.4;0;0.09;-9;-9
170200516;50990;50338;62.7;0;0.11;-9;-9
170200515;50990;50235;77.4;0;0.12;-9;-9
